Device: cpu  λs=[0.04, 0.06, 0.08, 0.1, 0.15, 0.2]  seeds=[0, 1, 2]  epochs=15
Loaded MNIST MLP — 1,863,690 params, frozen.

── λ=0.04 seed=0 ── pruner params: 612,611
  [λ=0.04 seed=2] step 2700 ep12 | loss +0.037 | orig 1.000 pruned 1.000 | pruned% h1= 69.2 h2= 58.2 (avg= 63.7)
  [λ=0.04 seed=2] step 2800 ep12 | loss +0.052 | orig 0.996 pruned 0.988 | pruned% h1= 69.3 h2= 58.2 (avg= 63.8)
  [λ=0.04 seed=2] step 2900 ep13 | loss +0.053 | orig 1.000 pruned 0.996 | pruned% h1= 69.4 h2= 58.2 (avg= 63.8)
  [λ=0.04 seed=2] step 3000 ep13 | loss +0.031 | orig 0.996 pruned 0.996 | pruned% h1= 69.4 h2= 58.2 (avg= 63.8)
  [λ=0.04 seed=2] step 3100 ep14 | loss +0.043 | orig 1.000 pruned 0.992 | pruned% h1= 69.5 h2= 58.2 (avg= 63.9)
  [λ=0.04 seed=2] step 3200 ep14 | loss +0.045 | orig 0.992 pruned 0.992 | pruned% h1= 69.5 h2= 58.2 (avg= 63.9)
  [λ=0.04 seed=2] step 3300 ep15 | loss +0.057 | orig 1.000 pruned 0.992 | pruned% h1= 69.5 h2= 58.2 (avg= 63.9)
  [λ=0.04 seed=2] step 3400 ep15 | loss +0.039 | orig 0.992 pruned 0.992 | pruned% h1= 69.6 h2= 58.2 (avg= 63.9)
  [λ=0.04 seed=2] step 3500 ep15 | loss +0.036 | orig 1.000 pruned 0.996 | pruned% h1= 69.6 h2= 58.2 (avg= 63.9)
  → [λ=0.04 seed=2] final keep 0.361  pruned 63.92%  | per-layer kept [311, 428]/[1024, 1024]  | orig→pruned test acc 98.06→97.88%  | 102s

── λ=0.06 seed=0 ── pruner params: 612,611
  [λ=0.06 seed=0] step  100 ep1 | loss +0.025 | orig 0.992 pruned 0.992 | pruned% h1= 25.4 h2= 54.8 (avg= 40.1)
  [λ=0.06 seed=0] step  200 ep1 | loss +0.061 | orig 0.992 pruned 0.988 | pruned% h1= 37.9 h2= 58.5 (avg= 48.2)
  [λ=0.06 seed=0] step  300 ep2 | loss +0.046 | orig 0.992 pruned 0.988 | pruned% h1= 50.6 h2= 57.3 (avg= 54.0)
  [λ=0.06 seed=0] step  400 ep2 | loss +0.055 | orig 0.996 pruned 0.988 | pruned% h1= 56.2 h2= 58.9 (avg= 57.6)
  [λ=0.06 seed=0] step  500 ep3 | loss +0.030 | orig 0.992 pruned 0.984 | pruned% h1= 60.6 h2= 60.4 (avg= 60.5)
  [λ=0.06 seed=0] step  600 ep3 | loss +0.055 | orig 0.992 pruned 0.992 | pruned% h1= 61.9 h2= 61.2 (avg= 61.6)
  [λ=0.06 seed=0] step  700 ep3 | loss +0.053 | orig 0.992 pruned 0.988 | pruned% h1= 63.1 h2= 61.3 (avg= 62.2)
  [λ=0.06 seed=0] step  800 ep4 | loss +0.062 | orig 0.988 pruned 0.988 | pruned% h1= 64.4 h2= 62.0 (avg= 63.2)
  [λ=0.06 seed=0] step  900 ep4 | loss +0.048 | orig 0.996 pruned 0.992 | pruned% h1= 64.6 h2= 62.5 (avg= 63.6)
  [λ=0.06 seed=0] step 1000 ep5 | loss +0.048 | orig 0.992 pruned 0.992 | pruned% h1= 66.3 h2= 62.8 (avg= 64.6)
  [λ=0.06 seed=0] step 1100 ep5 | loss +0.052 | orig 0.996 pruned 0.996 | pruned% h1= 67.1 h2= 62.9 (avg= 65.0)
  [λ=0.06 seed=0] step 1200 ep6 | loss +0.082 | orig 0.992 pruned 0.973 | pruned% h1= 67.4 h2= 63.1 (avg= 65.2)
  [λ=0.06 seed=0] step 1300 ep6 | loss +0.050 | orig 0.992 pruned 0.988 | pruned% h1= 67.8 h2= 63.2 (avg= 65.5)
  [λ=0.06 seed=0] step 1400 ep6 | loss +0.065 | orig 1.000 pruned 0.996 | pruned% h1= 67.9 h2= 63.2 (avg= 65.5)
  [λ=0.06 seed=0] step 1500 ep7 | loss +0.047 | orig 1.000 pruned 0.996 | pruned% h1= 68.2 h2= 63.3 (avg= 65.7)
  [λ=0.06 seed=0] step 1600 ep7 | loss +0.049 | orig 0.996 pruned 0.992 | pruned% h1= 68.8 h2= 63.5 (avg= 66.1)
  [λ=0.06 seed=0] step 1700 ep8 | loss +0.062 | orig 0.996 pruned 0.992 | pruned% h1= 69.4 h2= 63.5 (avg= 66.5)
  [λ=0.06 seed=0] step 1800 ep8 | loss +0.057 | orig 0.996 pruned 0.980 | pruned% h1= 69.5 h2= 63.5 (avg= 66.5)
  [λ=0.06 seed=0] step 1900 ep9 | loss +0.067 | orig 1.000 pruned 0.984 | pruned% h1= 69.9 h2= 63.5 (avg= 66.7)
  [λ=0.06 seed=0] step 2000 ep9 | loss +0.049 | orig 0.996 pruned 0.988 | pruned% h1= 70.6 h2= 63.5 (avg= 67.0)
  [λ=0.06 seed=0] step 2100 ep9 | loss +0.039 | orig 0.984 pruned 0.996 | pruned% h1= 70.6 h2= 63.5 (avg= 67.0)
  [λ=0.06 seed=0] step 2200 ep10 | loss +0.049 | orig 0.996 pruned 0.992 | pruned% h1= 70.7 h2= 63.5 (avg= 67.1)
  [λ=0.06 seed=0] step 2300 ep10 | loss +0.066 | orig 0.988 pruned 0.984 | pruned% h1= 71.0 h2= 63.5 (avg= 67.2)
  [λ=0.06 seed=0] step 2400 ep11 | loss +0.046 | orig 1.000 pruned 0.996 | pruned% h1= 71.2 h2= 63.5 (avg= 67.3)
  [λ=0.06 seed=0] step 2500 ep11 | loss +0.059 | orig 0.996 pruned 0.988 | pruned% h1= 71.3 h2= 63.5 (avg= 67.4)
  [λ=0.06 seed=0] step 2600 ep12 | loss +0.040 | orig 1.000 pruned 1.000 | pruned% h1= 71.3 h2= 63.5 (avg= 67.4)
  [λ=0.06 seed=0] step 2700 ep12 | loss +0.071 | orig 1.000 pruned 0.988 | pruned% h1= 71.6 h2= 63.5 (avg= 67.5)
  [λ=0.06 seed=0] step 2800 ep12 | loss +0.042 | orig 0.996 pruned 0.996 | pruned% h1= 71.6 h2= 63.5 (avg= 67.5)
  [λ=0.06 seed=0] step 2900 ep13 | loss +0.038 | orig 0.992 pruned 0.992 | pruned% h1= 71.7 h2= 63.5 (avg= 67.6)
  [λ=0.06 seed=0] step 3000 ep13 | loss +0.072 | orig 1.000 pruned 0.980 | pruned% h1= 71.7 h2= 63.5 (avg= 67.6)
  [λ=0.06 seed=0] step 3100 ep14 | loss +0.050 | orig 0.988 pruned 0.980 | pruned% h1= 71.7 h2= 63.5 (avg= 67.6)
  [λ=0.06 seed=0] step 3200 ep14 | loss +0.059 | orig 0.996 pruned 0.996 | pruned% h1= 71.7 h2= 63.5 (avg= 67.6)
  [λ=0.06 seed=0] step 3300 ep15 | loss +0.051 | orig 0.996 pruned 0.996 | pruned% h1= 71.7 h2= 63.5 (avg= 67.6)
  [λ=0.06 seed=0] step 3400 ep15 | loss +0.041 | orig 0.992 pruned 0.992 | pruned% h1= 71.7 h2= 63.5 (avg= 67.6)
  [λ=0.06 seed=0] step 3500 ep15 | loss +0.062 | orig 1.000 pruned 0.992 | pruned% h1= 71.7 h2= 63.5 (avg= 67.6)
  → [λ=0.06 seed=0] final keep 0.324  pruned 67.58%  | per-layer kept [290, 374]/[1024, 1024]  | orig→pruned test acc 98.06→97.74%  | 96s

── λ=0.06 seed=1 ── pruner params: 612,611
  [λ=0.06 seed=1] step  100 ep1 | loss +0.049 | orig 1.000 pruned 1.000 | pruned% h1=  7.8 h2= 60.1 (avg= 33.9)
  [λ=0.06 seed=1] step  200 ep1 | loss +0.048 | orig 0.996 pruned 0.992 | pruned% h1= 27.6 h2= 63.3 (avg= 45.5)
  [λ=0.06 seed=1] step  300 ep2 | loss +0.054 | orig 0.996 pruned 0.996 | pruned% h1= 47.7 h2= 64.1 (avg= 55.9)
  [λ=0.06 seed=1] step  400 ep2 | loss +0.040 | orig 1.000 pruned 0.996 | pruned% h1= 54.9 h2= 65.8 (avg= 60.4)
  [λ=0.06 seed=1] step  500 ep3 | loss +0.060 | orig 0.988 pruned 0.988 | pruned% h1= 58.3 h2= 66.3 (avg= 62.3)
  [λ=0.06 seed=1] step  600 ep3 | loss +0.048 | orig 0.996 pruned 0.996 | pruned% h1= 60.6 h2= 66.5 (avg= 63.6)
  [λ=0.06 seed=1] step  700 ep3 | loss +0.041 | orig 0.988 pruned 0.996 | pruned% h1= 63.8 h2= 67.3 (avg= 65.5)
  [λ=0.06 seed=1] step  800 ep4 | loss +0.048 | orig 0.992 pruned 0.988 | pruned% h1= 64.3 h2= 67.4 (avg= 65.8)
  [λ=0.06 seed=1] step  900 ep4 | loss +0.048 | orig 0.996 pruned 0.988 | pruned% h1= 65.2 h2= 67.5 (avg= 66.4)
  [λ=0.06 seed=1] step 1000 ep5 | loss +0.037 | orig 0.996 pruned 0.996 | pruned% h1= 66.1 h2= 67.7 (avg= 66.9)
  [λ=0.06 seed=1] step 1100 ep5 | loss +0.052 | orig 1.000 pruned 1.000 | pruned% h1= 66.0 h2= 67.7 (avg= 66.8)
  [λ=0.06 seed=1] step 1200 ep6 | loss +0.062 | orig 1.000 pruned 0.992 | pruned% h1= 66.3 h2= 67.9 (avg= 67.1)
  [λ=0.06 seed=1] step 1300 ep6 | loss +0.037 | orig 0.996 pruned 0.992 | pruned% h1= 67.0 h2= 67.9 (avg= 67.4)
  [λ=0.06 seed=1] step 1400 ep6 | loss +0.056 | orig 0.996 pruned 0.984 | pruned% h1= 67.2 h2= 67.9 (avg= 67.5)
  [λ=0.06 seed=1] step 1500 ep7 | loss +0.071 | orig 0.996 pruned 0.988 | pruned% h1= 67.3 h2= 67.9 (avg= 67.6)
  [λ=0.06 seed=1] step 1600 ep7 | loss +0.036 | orig 0.992 pruned 0.996 | pruned% h1= 67.7 h2= 67.9 (avg= 67.8)
  [λ=0.06 seed=1] step 1700 ep8 | loss +0.048 | orig 1.000 pruned 1.000 | pruned% h1= 67.8 h2= 67.9 (avg= 67.8)
  [λ=0.06 seed=1] step 1800 ep8 | loss +0.044 | orig 1.000 pruned 0.996 | pruned% h1= 67.9 h2= 68.0 (avg= 67.9)
  [λ=0.06 seed=1] step 1900 ep9 | loss +0.047 | orig 0.996 pruned 0.996 | pruned% h1= 68.0 h2= 68.0 (avg= 68.0)
  [λ=0.06 seed=1] step 2000 ep9 | loss +0.019 | orig 0.996 pruned 0.996 | pruned% h1= 68.1 h2= 68.0 (avg= 68.0)
  [λ=0.06 seed=1] step 2100 ep9 | loss +0.034 | orig 0.984 pruned 0.992 | pruned% h1= 68.1 h2= 68.0 (avg= 68.0)
  [λ=0.06 seed=1] step 2200 ep10 | loss +0.060 | orig 1.000 pruned 0.992 | pruned% h1= 68.5 h2= 68.0 (avg= 68.2)
  [λ=0.06 seed=1] step 2300 ep10 | loss +0.035 | orig 0.992 pruned 0.992 | pruned% h1= 68.5 h2= 68.0 (avg= 68.2)
  [λ=0.06 seed=1] step 2400 ep11 | loss +0.044 | orig 0.996 pruned 0.996 | pruned% h1= 68.8 h2= 68.0 (avg= 68.4)
  [λ=0.06 seed=1] step 2500 ep11 | loss +0.037 | orig 0.992 pruned 0.996 | pruned% h1= 68.8 h2= 68.1 (avg= 68.5)
