Device: cpu  λs=[0.05, 0.1, 0.15, 0.25, 0.4, 0.55]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_deep4x512.pt: hidden=[512, 512, 512, 512], 1,195,018 params, frozen.

── λ=0.05 seed=0 ── pruner params: 711,429
  [λ=0.05 seed=2] step 1600 ep7 | loss +0.044 | orig 0.996 pruned 1.000 | pruned% h1= 28.3 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 34.9)
  [λ=0.05 seed=2] step 1700 ep8 | loss +0.044 | orig 1.000 pruned 1.000 | pruned% h1= 32.4 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 35.9)
  [λ=0.05 seed=2] step 1800 ep8 | loss +0.038 | orig 0.996 pruned 1.000 | pruned% h1= 35.7 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 36.7)
  [λ=0.05 seed=2] step 1900 ep9 | loss +0.049 | orig 1.000 pruned 0.996 | pruned% h1= 36.3 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 36.9)
  [λ=0.05 seed=2] step 2000 ep9 | loss +0.054 | orig 1.000 pruned 0.992 | pruned% h1= 38.3 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.4)
  [λ=0.05 seed=2] step 2100 ep9 | loss +0.054 | orig 0.996 pruned 0.996 | pruned% h1= 38.5 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.4)
  [λ=0.05 seed=2] step 2200 ep10 | loss +0.052 | orig 0.996 pruned 0.992 | pruned% h1= 38.5 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.4)
  [λ=0.05 seed=2] step 2300 ep10 | loss +0.054 | orig 0.992 pruned 0.988 | pruned% h1= 38.7 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.5)
  [λ=0.05 seed=2] step 2400 ep11 | loss +0.047 | orig 1.000 pruned 1.000 | pruned% h1= 39.5 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.6)
  [λ=0.05 seed=2] step 2500 ep11 | loss +0.037 | orig 0.992 pruned 0.992 | pruned% h1= 39.5 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.6)
  [λ=0.05 seed=2] step 2600 ep12 | loss +0.037 | orig 1.000 pruned 1.000 | pruned% h1= 40.0 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.8)
  [λ=0.05 seed=2] step 2700 ep12 | loss +0.055 | orig 1.000 pruned 0.992 | pruned% h1= 40.6 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 37.9)
  [λ=0.05 seed=2] step 2800 ep12 | loss +0.059 | orig 1.000 pruned 0.996 | pruned% h1= 40.8 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 38.0)
  [λ=0.05 seed=2] step 2900 ep13 | loss +0.029 | orig 0.988 pruned 0.992 | pruned% h1= 41.0 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 38.0)
  [λ=0.05 seed=2] step 3000 ep13 | loss +0.046 | orig 0.996 pruned 1.000 | pruned% h1= 41.0 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 38.0)
  [λ=0.05 seed=2] step 3100 ep14 | loss +0.045 | orig 1.000 pruned 0.996 | pruned% h1= 41.2 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 38.1)
  [λ=0.05 seed=2] step 3200 ep14 | loss +0.048 | orig 0.996 pruned 0.992 | pruned% h1= 41.2 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 38.1)
  [λ=0.05 seed=2] step 3300 ep15 | loss +0.045 | orig 0.996 pruned 0.996 | pruned% h1= 41.6 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 38.2)
  [λ=0.05 seed=2] step 3400 ep15 | loss +0.047 | orig 0.996 pruned 0.992 | pruned% h1= 41.6 h2=  0.0 h3= 45.1 h4= 66.0 (avg= 38.2)
  [λ=0.05 seed=2] step 3500 ep15 | loss +0.047 | orig 0.988 pruned 0.992 | pruned% h1= 41.6 h2=  0.6 h3= 45.1 h4= 66.0 (avg= 38.3)
