Device: cpu  λs=[0.01, 0.02, 0.03, 0.05, 0.08, 0.12]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_wide2048.pt: hidden=[2048], 1,628,170 params, frozen.

── λ=0.01 seed=0 ── pruner params: 415,746
  [λ=0.02 seed=0] step 1100 ep5 | loss +0.020 | orig 1.000 pruned 0.996 | pruned% h1= 73.7 (avg= 73.7)
  [λ=0.02 seed=0] step 1200 ep6 | loss +0.024 | orig 0.996 pruned 0.996 | pruned% h1= 73.7 (avg= 73.7)
  [λ=0.02 seed=0] step 1300 ep6 | loss +0.019 | orig 1.000 pruned 1.000 | pruned% h1= 74.2 (avg= 74.2)
  [λ=0.02 seed=0] step 1400 ep6 | loss +0.020 | orig 1.000 pruned 1.000 | pruned% h1= 74.6 (avg= 74.6)
  [λ=0.02 seed=0] step 1500 ep7 | loss +0.032 | orig 0.992 pruned 0.992 | pruned% h1= 74.9 (avg= 74.9)
  [λ=0.02 seed=0] step 1600 ep7 | loss +0.018 | orig 0.992 pruned 0.992 | pruned% h1= 75.2 (avg= 75.2)
  [λ=0.02 seed=0] step 1700 ep8 | loss +0.030 | orig 0.996 pruned 0.992 | pruned% h1= 75.2 (avg= 75.2)
  [λ=0.02 seed=0] step 1800 ep8 | loss +0.040 | orig 0.992 pruned 0.984 | pruned% h1= 75.5 (avg= 75.5)
  [λ=0.02 seed=0] step 1900 ep9 | loss +0.022 | orig 1.000 pruned 1.000 | pruned% h1= 75.6 (avg= 75.6)
  [λ=0.02 seed=0] step 2000 ep9 | loss +0.018 | orig 0.996 pruned 1.000 | pruned% h1= 75.9 (avg= 75.9)
  [λ=0.02 seed=0] step 2100 ep9 | loss +0.023 | orig 1.000 pruned 1.000 | pruned% h1= 76.0 (avg= 76.0)
  [λ=0.02 seed=0] step 2200 ep10 | loss +0.014 | orig 1.000 pruned 1.000 | pruned% h1= 76.3 (avg= 76.3)
  [λ=0.02 seed=0] step 2300 ep10 | loss +0.018 | orig 1.000 pruned 1.000 | pruned% h1= 76.5 (avg= 76.5)
  [λ=0.02 seed=0] step 2400 ep11 | loss +0.020 | orig 1.000 pruned 0.996 | pruned% h1= 76.7 (avg= 76.7)
  [λ=0.02 seed=0] step 2500 ep11 | loss +0.027 | orig 1.000 pruned 0.996 | pruned% h1= 76.8 (avg= 76.8)
  [λ=0.02 seed=0] step 2600 ep12 | loss +0.029 | orig 0.996 pruned 0.988 | pruned% h1= 76.8 (avg= 76.8)
  [λ=0.02 seed=0] step 2700 ep12 | loss +0.034 | orig 1.000 pruned 0.992 | pruned% h1= 76.9 (avg= 76.9)
  [λ=0.02 seed=0] step 2800 ep12 | loss +0.018 | orig 0.996 pruned 0.996 | pruned% h1= 77.1 (avg= 77.1)
  [λ=0.02 seed=0] step 2900 ep13 | loss +0.018 | orig 0.996 pruned 0.992 | pruned% h1= 77.1 (avg= 77.1)
  [λ=0.02 seed=0] step 3000 ep13 | loss +0.027 | orig 0.996 pruned 0.996 | pruned% h1= 77.3 (avg= 77.3)
  [λ=0.02 seed=0] step 3100 ep14 | loss +0.018 | orig 1.000 pruned 1.000 | pruned% h1= 77.3 (avg= 77.3)
